date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:58	923151/923151	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Jan%202021%2007:05:47%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/line-awesome/fonts/la-solid-900.svg	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/line-awesome/fonts/la-solid-900.svg	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/iconfonts/line-awesome/line-awesome.css)
10:55:58	8858/8858	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Jan%202021%2007:07:21%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/fonts/lg.svg?n1z373	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/fonts/lgd641.svg	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/gallery.css)
10:55:59	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:25:58%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/vimeo-play.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/vimeo-play.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/gallery.css)
10:55:59	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:25:58%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/video-play.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/video-play.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/gallery.css)
10:55:59	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:25:58%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/youtube-play.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/img/youtube-play.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/gallery.css)
10:56:00	4178/4178	---M--	200	added ('OK')	image/gif	date:Wed,%2020%20Jan%202021%2007:03:02%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/loading.gif	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/loading.gif	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/gallery/gallery.css)
10:56:00	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:25:59%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/twitter.com/spruko.me	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/twitter.com/spruko.html	(from https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/profile.html)
10:56:01	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:00%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/assets/img/media/11.jpg%22	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/assets/img/media/11.html	(from https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/cards.html)
10:56:01	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2022%20Jan%202022%2005:26:00%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/assets/img/media/13.jpg%22	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/assets/img/media/13.html	(from https://www.spruko.com/demo/dashpro/Dashpro/HTML-LTR/Horizontal-light/cards.html)
10:56:01	3904/3904	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Jan%202021%2007:02:53%20GMT	https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_upload.png	C:/My%20Web%20Sites/dashboard/www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_upload.png	(from https://www.spruko.com/demo/dashpro/Dashpro/assets/plugins/fancyuploder/fancy_fileupload.css)
